time,q,p,r
0,True,False,False
1,False,True,False
2,False,False,True
3,True,False,False
4,False,False,False
5,False,False,False
6,False,True,False
7,False,False,False
8,False,True,False
9,False,False,False
10,False,False,False
11,False,True,False
12,False,True,False
13,False,False,False
14,False,True,False
15,False,True,False
16,False,False,True
17,True,False,False
18,False,True,False
19,False,False,False
20,False,True,False
21,False,False,False
22,False,False,False
23,False,True,False
24,False,True,False
25,False,True,False
26,False,False,False
27,False,True,False
28,False,False,False
29,False,False,True
30,False,False,False
31,True,False,False
32,False,False,False
33,False,False,False
34,False,True,False
35,False,True,False
36,False,True,False
37,False,False,False
38,False,False,False
39,False,True,False
40,False,True,False
41,False,False,True
42,True,False,False
43,False,False,False
44,False,True,False
45,False,False,False
46,False,False,False
47,False,True,False
48,False,False,False
49,False,False,False
50,False,True,False
51,False,False,False
52,False,False,False
53,False,False,True
54,False,False,False
55,False,False,False
56,True,False,False
57,False,False,False
58,False,False,False
59,False,False,False
60,False,False,False
61,False,False,True
