ID;Event;Title;Role;Date;EventName;EventType
14a-027_0;DL_WFCaseTypeStep|497;Fill out application;Ansøger;2013-12-25 12:36:38.987;Fill out application;Task
14a-027_0;DL_WFCaseTypeStep|469;Approved - to board;ls;2013-12-30 01:41:21.143;Approved - to board;Task
14a-027_0;DL_WFCaseTypeStep|518;Change phase to Review;suser;2013-12-30 01:41:22.717;Change phase to Review;Task
14a-027_0;DL_WFCaseTypeStep|472;Architect Review;mp;2013-12-30 03:34:46.273;Architect Review;Task
14a-027_0;DL_WFCaseTypeStep|472;Architect Review;mp;2013-12-30 03:35:19.810;Architect Review;Task
14a-027_0;DL_WFCaseTypeStep|474;Review;bry;2014-02-11 17:07:09.263;Review;Task
14a-027_0;DL_WFCaseTypeStep|474;Review;bry;2014-02-11 17:07:28.270;Review;Task
14a-027_0;DL_WFCaseTypeStep|472;Architect Review;mp;2014-03-05 19:46:00.657;Architect Review;Task
14a-027_0;DL_WFCaseTypeStep|474;Review;bry;2014-03-10 12:25:36.097;Review;Task
14a-027_0;DL_WFCaseTypeStep|473;Review;br;2014-03-22 22:48:43.670;Review;Task
14a-027_0;DL_WFCaseTypeStep|471;Lawyer Review;cbc;2014-03-25 22:23:53.800;Lawyer Review;Task
14a-027_0;DL_WFCaseTypeStep|475;Register Decision;ls;2014-03-27 09:33:01.850;Register Decision;Task
14a-027_0;DL_WFCaseTypeStep|519;Change phase to Board meeting;suser;2014-03-27 09:34:03.597;Change phase to Board meeting;Task
14a-027_0;DL_WFCaseTypeStep|510;Round ends;suser;2014-04-09 03:00:05.030;Round ends;Task
14a-027_0;DL_WFCaseTypeStep|485;Round approved;ANONYMOUS LOGON;2014-04-15 14:50:49.960;Round approved;Task
14a-027_0;DL_WFCaseTypeStep|539;Inform application of board review;ls;2014-04-16 10:32:09.167;Inform application of board review;Task
14a-027_0;DL_WFCaseTypeStep|485;Round approved;administrator;2014-04-16 19:25:05.250;Round approved;Task
14a-027_0;DL_WFCaseTypeStep|477;Reject;administrator;2014-04-16 19:25:05.557;Reject;Task
14a-027_0;DL_WFCaseTypeStep|486;Applicant informed;ls;2014-04-29 09:59:47.523;Applicant informed;Task
14a-027_0;DL_WFCaseTypeStep|538;Change phase to Abort;suser;2014-04-29 10:00:07.177;Change phase to Abort;Task
14a-031_2;DL_WFCaseTypeStep|497;Fill out application;Ansøger;2014-05-09 16:19:31.583;Fill out application;Task
14a-031_2;DL_WFCaseTypeStep|470;Screening reject;Administrator;2014-05-09 16:19:41.187;Screening reject;Task
14a-031_2;DL_WFCaseTypeStep|486;Applicant informed;Administrator;2014-05-09 16:19:46.290;Applicant informed;Task
14a-031_2;DL_WFCaseTypeStep|538;Change phase to Abort;administrator;2014-05-09 16:19:49.710;Change phase to Abort;Task
14a-035_0;DL_WFCaseTypeStep|497;Fill out application;Ansøger;2014-01-02 00:52:37.457;Fill out application;Task
14a-035_0;DL_WFCaseTypeStep|469;Approved - to board;ls;2014-01-16 13:37:28.310;Approved - to board;Task
14a-035_0;DL_WFCaseTypeStep|518;Change phase to Review;suser;2014-01-16 13:37:30.800;Change phase to Review;Task
14a-035_0;DL_WFCaseTypeStep|472;Architect Review;mp;2014-03-05 19:32:07.640;Architect Review;Task
14a-035_0;DL_WFCaseTypeStep|474;Review;bry;2014-03-10 12:25:07.967;Review;Task
14a-035_0;DL_WFCaseTypeStep|473;Review;br;2014-03-22 22:54:26.310;Review;Task
14a-035_0;DL_WFCaseTypeStep|471;Lawyer Review;cbc;2014-03-25 22:23:02.050;Lawyer Review;Task
14a-035_0;DL_WFCaseTypeStep|475;Register Decision;ls;2014-03-27 09:34:10.913;Register Decision;Task
14a-035_0;DL_WFCaseTypeStep|519;Change phase to Board meeting;suser;2014-03-27 09:35:05.930;Change phase to Board meeting;Task
14a-035_0;DL_WFCaseTypeStep|510;Round ends;suser;2014-04-09 03:00:05.033;Round ends;Task
14a-035_0;DL_WFCaseTypeStep|485;Round approved;ANONYMOUS LOGON;2014-04-15 14:50:49.963;Round approved;Task
14a-035_0;DL_WFCaseTypeStep|539;Inform application of board review;ls;2014-04-16 10:36:35.770;Inform application of board review;Task
14a-035_0;DL_WFCaseTypeStep|485;Round approved;administrator;2014-04-16 19:25:05.270;Round approved;Task
14a-035_0;DL_WFCaseTypeStep|477;Reject;administrator;2014-04-16 19:25:05.563;Reject;Task
14a-035_0;DL_WFCaseTypeStep|486;Applicant informed;ls;2014-04-29 09:59:47.843;Applicant informed;Task
14a-035_0;DL_WFCaseTypeStep|538;Change phase to Abort;suser;2014-04-29 10:00:10.810;Change phase to Abort;Task
14a-037_0;DL_WFCaseTypeStep|497;Fill out application;Ansøger;2014-01-02 13:13:58.023;Fill out application;Task
14a-037_0;DL_WFCaseTypeStep|469;Approved - to board;ls;2014-01-16 13:43:41.740;Approved - to board;Task
14a-037_0;DL_WFCaseTypeStep|518;Change phase to Review;suser;2014-01-16 13:43:44.443;Change phase to Review;Task
14a-037_0;DL_WFCaseTypeStep|472;Architect Review;mp;2014-03-05 19:31:28.893;Architect Review;Task
14a-037_0;DL_WFCaseTypeStep|474;Review;bry;2014-03-10 12:24:57.607;Review;Task
14a-037_0;DL_WFCaseTypeStep|473;Review;br;2014-03-22 23:04:02.600;Review;Task
14a-037_0;DL_WFCaseTypeStep|471;Lawyer Review;cbc;2014-03-25 22:22:18.763;Lawyer Review;Task
14a-037_0;DL_WFCaseTypeStep|475;Register Decision;ls;2014-03-27 09:58:25.527;Register Decision;Task
14a-037_0;DL_WFCaseTypeStep|519;Change phase to Board meeting;suser;2014-03-27 09:59:02.807;Change phase to Board meeting;Task
14a-037_0;DL_WFCaseTypeStep|510;Round ends;suser;2014-04-09 03:00:05.037;Round ends;Task
