accx,accy,accz,pres,temp,alt,velv,accv,act,time,state
42.27,3.46,44.11,82.02,54.5,2136.95,390.64,-37.93,0,1523,0
42.11,4.84,43.53,81.82,54.44,2146.4,260.25,-35.59,0,1610,0
41.91,5.03,41.98,81.46,54.5,2165.39,223.85,-28.83,0,1639,0
41.79,2.55,41.52,80.84,54.5,2179.06,342.78,-23.07,0,1690,0
41.57,-0.76,41.54,80.36,54.44,2209.29,458.41,-19.71,0,1740,0
41.76,-2.25,41.14,79.84,54.5,2248.6,610.71,-16.7,0,1794,0
41.59,-6.12,41.85,79.46,54.5,2297.46,741.05,-16.76,0,1842,0
42.07,-8.6,42.85,79.17,54.5,2346.33,859.2,-20.5,0,1894,0
41.26,-3.2,43.23,78.84,54.5,2402.2,942.74,-28.23,0,1946,0
42.04,14.7,43.32,78.3,54.5,2462.98,1029.96,-45.48,0,2000,0
39.8,-9.31,45.37,78.06,54.5,2526.4,1074.29,-38.32,0,2048,0
33.85,7.83,46.17,77.79,54.5,2582.66,1094.52,-52.08,0,2099,0
35.41,-9.26,47.42,77.25,54.5,2644.09,1121.59,-53.4,0,2149,0
32.9,22.06,47.4,77.19,54.5,2700.7,1097.97,-60.22,0,2203,0
31.2,-1.84,47.19,76.25,54.5,2766.13,1128.93,-55.83,0,2250,0
24.18,8.27,47.09,76.36,54.5,2818.7,1097.13,-49.39,0,2301,0
28.59,-3.77,46.5,74.34,54.5,2891.73,1243.23,-52.06,0,2352,0
27.07,11.51,46.52,76.05,54.5,2947.69,1141.82,-45.55,0,2407,0
29,13.5,46.68,74.04,54.5,3019.49,1201.26,-46.29,0,2456,0
31.31,-45.23,44.08,76.69,54.5,3056.15,945.08,-69.55,0,2507,0
31.69,7.62,45.41,76.94,54.5,3078.36,666.62,-40.44,0,2558,0
27,-23.59,42.78,76.91,54.56,3086.46,394.25,-52.79,0,2611,0
24.33,-4.9,44.48,76.74,54.56,3083.55,157.36,-37.88,0,2659,0
20.11,-2.98,44.87,76.41,54.5,3071.41,-55.34,-38.54,0,2710,0
16.89,-30.43,43.26,75.83,54.5,3055.32,-188.72,-49.17,0,2760,0
19.16,-9.07,44.12,75.31,54.5,3038.38,-263.49,-38.76,0,2814,0
16.55,2,44.46,74.25,54.5,3026.41,-239.52,-31.72,0,2862,0
14.22,-45.56,40.85,74.95,54.5,3012.27,-265.81,-52.34,0,2914,0
16.91,6.04,40.78,75.1,54.5,2995.66,-289.8,-13.61,0,2966,0
15.33,-6.29,40.61,75.09,54.5,2978.85,-303.49,-18.63,0,3020,0
15.33,-24.57,39.01,75.04,54.44,2961.97,-305.1,-28.06,0,3068,0
14.16,2.47,40.12,74.79,54.5,2949.52,-278.22,-9.47,0,3119,0
11.02,-30.08,38.22,74.52,54.5,2939.94,-229.79,-27.79,0,3169,0
10.22,-3.32,39.78,74.34,54.5,2934.63,-164.64,-10.75,0,3223,0
7.66,-25.11,38.78,74.01,54.5,2934.1,-85.09,-24.2,0,3270,0
6.81,-14.82,39.49,73.87,54.44,2939.14,12.8,-17.32,0,3321,0
5.74,-5.46,40.41,73.73,54.5,2949.18,105.39,-12.4,0,3372,0
3.9,-19,39.67,73.59,54.5,2964.09,198,-21.72,0,3426,0
3.86,1.93,42.26,73.52,54.56,2983.84,280.14,-13.63,0,3474,0
3.29,-21.17,42.11,73.38,54.5,3006,367.83,-30.69,0,3525,0
2.8,-0.67,44.14,73.25,54.5,3033.06,445.2,-24.2,0,3576,0
2.52,-10.38,44.78,73.02,54.5,3063.99,520.79,-32.62,0,3630,0
-0.48,-4.88,45.79,72.82,54.44,3099.94,587.48,-31.1,0,3678,0
-0.93,-2.5,46.33,72.55,54.5,3135.97,662.62,-33.46,0,3729,0
-3.51,-15.55,46.43,72.25,54.5,3177.54,731.77,-33.64,0,3780,0
